name,architect,year,description,imageUrl,address,latitude,longitude
21世紀キリスト教会,安藤忠雄（あんどうただお）,2014年,"住宅街の中に建つ教会。地上2階・地下1階建て。
地上階は上から見ると二等辺三角形をしています。
施工は、鹿島建設株式会社。",https://kenchiku-pers.com/contents/wp-content/uploads/2019/02/21st-century-christ-church01-140x140.jpg,東京都渋谷区広尾5-9−7,35.6492285,139.721324
AKASAKA K-TOWER,鹿島建設株式会社（かじまけんせつかぶしきかいしゃ）,2012年,事務所、住宅、商業施設が入る高層複合ビル。2012年度グッドデザイン賞受賞。,https://kenchiku-pers.com/contents/wp-content/uploads/2017/10/akasaka-k-tower01-140x140.jpg,東京都港区元赤坂1-2-7,35.6777869,139.7348263
FUKUHARA GINZA,芦原太郎（あしはらたろう）,2011年,"SHISEIDO THE STORE、飲食店が入るビル。地上11階・地下2階建て。
施工は東急建設株式会社。
南側にはリカルド・ボフィル氏設計の東京銀座資生堂ビルがあります。",https://kenchiku-pers.com/contents/wp-content/uploads/2022/05/fukuhara-ginza01-140x140.jpg,東京都中央区銀座7–8–10,35.66878150000001,139.7620597
G.Itoya,大成建設株式会社（たいせいけんせつ）,2015年,"銀座の中央通り沿いに建つ株式会社伊東屋の文具専門店。地上13階・地下2階建て。敷地の間口は8m。あづま通り側にも入り口があり、K.Itoyaへ繋がっています。
隣は、建築家 隈研吾氏が設計したティファニー銀座があります。
施工は、大成建設株式会社。
グッドデザイン賞、AACA賞、日本建築家協会優秀建築選、日事連建築賞、JSCA賞に選ばれています。",https://kenchiku-pers.com/contents/wp-content/uploads/2018/06/g-itoya01-140x140.jpg,東京都中央区銀座2-7-15,35.6729807,139.7673835
GINZA PLACE,クライン・ダイサム・アーキテクツ（くらいん・だいさむ・あーきてくつ）,2016年,,https://kenchiku-pers.com/contents/wp-content/uploads/2023/03/ginza-place01-140x140.jpg,東京都中央区銀座5-8-1,35.6708855,139.7650033
JTビル,株式会社日建設計（にっけんせっけい）,1995年,"日本たばこ産業株式会社（JT）の本社ビル。地上35階・地下3階建て。
施工は、大成建設株式会社、鹿島建設株式会社、戸田建設株式会社、ジェイティ不動産株式会社。
BCS賞を受賞しています。",https://kenchiku-pers.com/contents/wp-content/uploads/2019/01/jt-building01-140x140.jpg,東京都港区虎ノ門2-2-1,35.6696922,139.7456221
PIAS GINZA,株式会社久米設計（くめせっけい）,2009年,,https://kenchiku-pers.com/contents/wp-content/uploads/2023/03/pias-ginza01-140x140.jpg,東京都中央区銀座4-8-10,35.6706289,139.7665258
TBS放送センター,株式会社日本設計（にほんせっけい）,1994年,,https://kenchiku-pers.com/contents/wp-content/uploads/2023/11/tokyo-broadcasting-system-center01-140x140.jpg,東京都港区赤坂5-3-6,35.67191,139.7351057
TH GINZAビル,大江匡（おおえただす）,2014年,銀座の外堀通沿いに建つ、地上10階・地下1階建ての商業ビル。,https://kenchiku-pers.com/contents/wp-content/uploads/2018/05/th-ginza-building01-140x140.jpg,東京都中央区銀座2-2-18,35.67476,139.7657087
THE HEXAGON,前田建設工業株式会社（まえだけんせつこうぎょう）,2008年,,https://kenchiku-pers.com/contents/wp-content/uploads/2023/11/the-hexagon01-140x140.jpg,東京都港区赤坂5-4-7,35.6720808,139.735878
TKビル,安藤忠雄（あんどうただお）,1986年,外苑西通りに建つ、商業ビル。,https://kenchiku-pers.com/contents/wp-content/uploads/2019/01/tk-building01-140x140.jpg,東京都港区西麻布3-17-25,35.6582526,139.7239886
V88ビルディング,光井純（みついじゅん）,2007年,"銀座マロニエ通りに建つ複合ビル。地上11階・地下2階建て。旧デビアス銀座ビルディング。
曲面の外観はステンラスが用いられています。
実施設計と施工は、大成建設株式会社。
ステンレス協会賞を受賞しています。",https://kenchiku-pers.com/contents/wp-content/uploads/2018/05/v88-building01-140x140.jpg,東京都中央区銀座2-5-11,35.6734669,139.7664459
赤坂Bizタワー,株式会社久米設計（くめせっけい）,2008年,,https://kenchiku-pers.com/contents/wp-content/uploads/2023/11/akasaka-biz-tower01-140x140.jpg,東京都港区赤坂5-3-1,35.6735577,139.7367217
赤坂インターシティ,株式会社日本設計（にほんせっけい）,2005年,"在日アメリカ大使館の西側に建つ、高層ビル。地上29階・地下3階建て。
施工は、鹿島建設株式会社、株式会社大林組。
北側には赤坂インターシティAIRが建っています。
グッドデザイン賞、空気調和・衛生工学会振興賞、環境・設備デザイン賞、港区みどりの街づくり賞、SDA賞を受賞しています。",https://kenchiku-pers.com/contents/wp-content/uploads/2019/01/akasaka-intercity01-140x140.jpg,東京都港区赤坂1-11-44,35.6689179,139.7426095
赤坂インターシティAIR,株式会社日本設計（にほんせっけい）,2017年,"六本木通りに建つ、高層ビル。地上38階・地下3階建て。
敷地の約1/3は、憩いの場、災害時の避難スペースとして利用される緑地になっています。
施工は、株式会社大林組。
南側には赤坂インターシティが建っています。
グッドデザイン賞、CFT構造賞、都市景観大賞を受賞しています。",https://kenchiku-pers.com/contents/wp-content/uploads/2019/01/akasaka-intercity-air01-140x140.jpg,東京都港区赤坂1-8-1,35.670183,139.74264
浅草文化観光センター,隈研吾（くまけんご）,2012年,"浅草雷門の前にある観光案内施設です。
最上階の展望テラスからは東京スカイツリーが見られます。",https://kenchiku-pers.com/contents/wp-content/uploads/2014/04/asakusa_culture_tourist_information_center01-140x140.jpg,東京都台東区雷門2-18-9,35.7106517,139.7965387
蟻鱒鳶ル,岡啓輔（おかけいすけ）,,"建築家 岡啓輔氏が2005年からセルフビルドで建設中の地上4階・地下1階建ての住宅。
SDレビュー受賞。",https://kenchiku-pers.com/contents/wp-content/uploads/2018/06/arimaston-building01-140x140.jpg,東京都港区三田4-15,35.6452107,139.742051
池袋PARCO,村野藤吾（むらのとうご）,1959年,"JR池袋駅前にある地上8階・地下2階の百貨店。元東京丸物（まるぶつ）百貨店。
施工は、株式会社大林組。",https://kenchiku-pers.com/contents/wp-content/uploads/2018/04/ikebukuro-parco011-140x140.jpg,東京都豊島区南池袋1-28-2,35.7307796,139.7120701
ウインズ銀座,黒川紀章（くろかわきしょう）,1990年,東京都中央区銀座にあるJRA（日本中央競馬会）の場外馬券売場。,https://kenchiku-pers.com/contents/wp-content/uploads/2018/05/wins-ginza01-140x140.jpg,東京都中央区銀座2-10-13,35.6722943,139.7683532
上野グリーンクラブ,高松伸（たかまつしん）,1992年,盆栽展、盆栽の販売をおこなっている、日本盆栽協同組合の本部。,https://kenchiku-pers.com/contents/wp-content/uploads/2018/05/ueno-green-club01-140x140.jpg,東京都台東区上野公園3-42,35.7153384,139.7680589
Esola池袋,大江匡（おおえただす）,2009年,"有楽町線池袋駅から地下で直結している、地上10階・地下3階の商業施設、駅ビル。
施工は、株式会社竹中工務店。
2010年度鉄道建築協会賞受賞。",https://kenchiku-pers.com/contents/wp-content/uploads/2018/04/esola-ikebukuro01-140x140.jpg,東京都豊島区西池袋1-12-1,35.7297481,139.7096932
江戸東京博物館,菊竹清訓（きくたけきよのり）,1993年,"江戸、東京の文化と歴史を紹介する博物館。地上7階・地下1階建て。
館長は、建築家・建築史家の藤森照信（ふじもりてるのぶ）氏です。
西側には、杉山隆建築設計事務所、鹿島建設株式会社が設計した両国国技館があります。",https://kenchiku-pers.com/contents/wp-content/uploads/2020/02/edo-tokyo-museum01-140x140.jpg,東京都墨田区横網1-4-1,35.6966803,139.794926
岡本太郎記念館,坂倉準三（さかくらじゅんぞう）,1954年,"元は、芸術家 岡本太郎氏が1954年から亡くなる1996年まで過ごしたアトリエ兼住居。
坂倉準三氏はパリ留学時から岡本太郎氏と親交がありました。",https://kenchiku-pers.com/contents/wp-content/uploads/2018/12/taro-okamoto-memorial-museum01-140x140.jpg,東京都港区南青山6-1-19,35.6613077,139.7155479
表参道けやきビル,團紀彦（だんのりひこ）,2013年,"表参道に建つ、商業施設ビル。地上8階・地下2階建て。
3階から地下1階はHUGO BOSS（ヒューゴ ボス）の表参道店として使われています。
隣は伊東豊雄氏設計の旧TOD'S表参道ビル（現在はケリングビル）。",https://kenchiku-pers.com/contents/wp-content/uploads/2019/01/omotesando-keyaki-building01-140x140.jpg,東京都渋谷区神宮前5-1-3,35.665966,139.7102961
表参道ヒルズ,安藤忠雄（あんどうただお）,2006年,"表参道に建つ、商業施設および集合住宅（表参道ヒルズゼルコバテラス）。地上6階・地下6階建て。
同潤会青山アパートの跡地に建てられていますが、東側は青山アパートを再現しています。
施工は、株式会社大林組、株式会社関電工、高砂熱学工業株式会社、三建設備工業株式会社。",https://kenchiku-pers.com/contents/wp-content/uploads/2019/01/omotesando-hills01-140x140.jpg,東京都渋谷区神宮前4-12-10,35.6673179,139.7085692
がん研有明病院,丹下健三（たんげけんぞう）,2005年,"ゆりかもめ有明駅前にある、がん治療に特化した病院。地上12階・地下2階建て。
設計は、丹下健三氏と清水建設株式会社。
施工は、清水建設株式会社、大成建設株式会社、鹿島建設株式会社、株式会社大林組、株式会社竹中工務店、株式会社錢高組、株式会社ナカノフドー建設、三井住友建設株式会社。
医療福祉建築賞を受賞しています。",https://kenchiku-pers.com/contents/wp-content/uploads/2019/01/cancer-institute-hospital01-140x140.jpg,東京都江東区有明3-8-31,35.6343419,139.7950059
CUE NISHIAZABU,安藤忠雄（あんどうただお）,2003年,"ラオス大使館の西側に建つ、賃貸マンション。地上5階建て。
施工は、清水建設株式会社。",https://kenchiku-pers.com/contents/wp-content/uploads/2019/01/cue-nishiazabu01-140x140.jpg,東京都港区西麻布3-3-20,35.65829950000001,139.7266392
旧神宮前のアトリエ,安藤忠雄（あんどうただお）,1987年,個人の住宅兼アトリエとして建てられましたが、現在は結婚式場「青山フェアリーハウス」として使われています。,https://kenchiku-pers.com/contents/wp-content/uploads/2019/01/old-atelier-in-jingumae01-140x140.jpg,東京都渋谷区神宮前5-38-4,35.6630703,139.7056516
旧TOD'S表参道ビル,伊東豊雄（いとうとよお）,2004年,"表参道に建つ、コングロマリット企業「ケリング」の本社ビル。地上7階・地下1階建て。
ファサードは、表参道の並木であるけやきがモチーフになっています。
イタリアのファッションブランド「TOD'S」は2019年に閉店しました。
施工は株式会社竹中工務店。
隣は團紀彦氏設計の表参道けやきビル。",https://kenchiku-pers.com/contents/wp-content/uploads/2019/01/tods-omotesando-building01-140x140.jpg,東京都渋谷区神宮前5-1-5,35.6659248,139.7101451
旧博物館動物園駅,不明（ふめい）,1933年,"現在は廃止されている、京成電鉄の駅舎。
都選定歴史的建造物に選定されています。",https://kenchiku-pers.com/contents/wp-content/uploads/2018/05/old-hakubutsukan-dobutsuen-station01-140x140.jpg,東京都台東区上野公園13-23,35.7186739,139.773516
GINZA KABUKIZA,隈研吾（くまけんご）,2013年,"無形文化遺産である歌舞伎の劇場「歌舞伎座」と高層オフィスビル「歌舞伎座タワー」で構成された複合施設。地上29階・地下4階建て。歌舞伎座としては五代目の建物です。
設計は、隈研吾氏、株式会社三菱地所設計。
施工は、清水建設株式会社。
照明設計は、照明デザイナーの石井幹子氏、石井リーサ明理氏。
BCS賞、照明普及賞、AACA賞受賞。",https://kenchiku-pers.com/contents/wp-content/uploads/2018/06/ginza-kabukiza01-140x140.jpg,東京都中央区銀座4-12-15,35.6700095,139.7679618
銀座松竹スクエア,株式会社三菱地所設計（みつびしじしょせっけい）,2002年,"地上23階・地下2階建ての複合施設。低層部は店舗とオフィス、高層部はマンションになっています。
建築家の隈研吾氏がデザインを担当しています。
日本建築家協会優秀建築選に選ばれています。",https://kenchiku-pers.com/contents/wp-content/uploads/2018/05/ginza-shochiku-square01-140x140.jpg,東京都中央区築地1-13-1,35.6684183,139.7695225
GINZA12,ZERO・ARCHITECTS＋CONSULTING（ぜろ・あーきてくつ ぷらす こんさるてぃんぐ）,2017年,"GINZA KABUKIZAの横に建つ賃貸商業ビル。
地上12階・地下1階建て。",https://kenchiku-pers.com/contents/wp-content/uploads/2018/06/ginza1201-140x140.jpg,東京都中央区銀座4-12-1,35.6701957,139.7679734
銀座メゾンエルメス,レンゾ・ピアノ（れんぞ・ぴあの）,2001年,,https://kenchiku-pers.com/contents/wp-content/uploads/2023/03/ginza-maison-hermes01-140x140.jpg,東京都中央区銀座5-4-1,35.6720221,139.763401
九段会館,川元良一（かわもとりょういち）,1934年,"洋風の建築に和風の屋根をつけた和洋折衷の帝冠様式の建築です。
東日本大震災による天井崩落事故後、廃業したため閉館していましたが、一部を保存する形で地上17階建ての複合ビル「九段会館テラス」に建て替えられました。
国の登録有形文化財に登録されています。",https://kenchiku-pers.com/contents/wp-content/uploads/2014/05/kudan_kaikan_hall01-140x140.jpg,東京都千代田区九段南1-6-5,35.6943111,139.7514022
クラシックガーデン文京根津,隈研吾（くまけんご）,2005年,"1910年に建てられた旧田嶋邸跡地に建てられた介護付有料老人ホーム。地上4階・地下1階。
同じ敷地内にある石蔵を改装したうどん店「根津 釜竹」も隈研吾氏の設計です。
施工は、株式会社久保工。",https://kenchiku-pers.com/contents/wp-content/uploads/2018/05/classic-garden-bunkyonezu011-140x140.jpg,東京都文京区根津2-14-18,35.7181342,139.7668148
グランドプリンスホテル新高輪,村野藤吾（むらのとうご）,1982年,"竣工当時の名称は新高輪プリンスホテル。
村野氏が91歳のときの作品です。",https://kenchiku-pers.com/contents/wp-content/uploads/2018/06/grand-prince-hotel-new-takanawa01-140x140.jpg,東京都港区高輪3-13-1,35.6299848,139.7334293
国際ビルヂング・帝国劇場,谷口吉郎（たにぐちよしろう）,1966年,,https://kenchiku-pers.com/contents/wp-content/uploads/2023/03/kokusai-building-imperial-theater01-140x140.jpg,東京都千代田区丸の内3-1-1,35.6767148,139.7612147
国際連合大学本部施設,丹下健三（たんげけんぞう）,1992年,青山通り沿い、青山学院大学の向かいに建つ、国際連合の自治機関。地上14階・地下1階建て。,https://kenchiku-pers.com/contents/wp-content/uploads/2019/01/united-nations-univesity-headquarters-building01-140x140.jpg,東京都渋谷区神宮前5-53-70,35.6624735,139.7083881
国立劇場,株式会社竹中工務店（たけなかこうむてん）,1966年,校倉造りをモチーフにした鉄筋コンクリートの建築。BCS賞、公共建築百選、DOCOMOMO JAPAN選定 日本におけるモダン・ムーブメントの建築に選ばれています。,https://kenchiku-pers.com/contents/wp-content/uploads/2015/04/national-theatre01-140x140.jpg,東京都千代田区隼町4-1,35.6815839,139.7424952
国立国会図書館国際子ども図書館,安藤忠雄（あんどうただお）,2002年,"都選定歴史的建造物に選定されている、1906年に建てられた帝国図書館（設計は久留正道氏、真水英夫氏）を修復・保存しながら、改修・増築した建築。地上4階・地下1階。
国土交通省関東地方整備局営繕部、株式会社日建設計とともに設計。安藤氏は、主に新築部分を担当。
施工は、株式会社鴻池組。
BELCA賞、BCS賞受賞。",https://kenchiku-pers.com/contents/wp-content/uploads/2018/05/international-library-of-childrens-literature-national-diet-library01-140x140.jpg,東京都台東区上野公園12-49,35.719558,139.7737241
国立新美術館,黒川紀章（くろかわきしょう）,2006年,"6館ある国立美術館の1つ、収蔵品を所有しない美術館。地上6階・地下2階建て。延べ床面積は美術館で日本最大の49,834㎡。ロゴのデザインは佐藤可士和氏。
設計は、建築家 黒川紀章氏と株式会社日本設計。
施工は、鹿島建設株式会社、大成建設株式会社、株式会社松村組、清水建設株式会社、株式会社大林組、三井住友建設株式会社。
グッドデザイン賞、BCS賞受賞。",https://kenchiku-pers.com/contents/wp-content/uploads/2018/07/the-national-art-center-tokyo01-140x140.jpg,東京都港区六本木7-22-2,35.665296,139.7263662
国立西洋美術館,ル・コルビュジエ（る・こるびゅじえ）,1959年,"東京上野にある西洋美術館。本館の建物は近代建築の巨匠ル・コルビュジエ氏が設計、新館は前川國男氏が設計しました。
2016年に世界遺産に登録されています。",https://kenchiku-pers.com/contents/wp-content/uploads/2019/06/the-national-museum-of-western-art01-140x140.jpg,東京都台東区上野公園7-7,35.7156508,139.7763905
国立総合児童センターこどもの城,株式会社山下設計（やましたせっけい）,1985年,"国際児童年を記念して建てられた児童厚生施設。2015年2月に閉館しました。地上13階・地下4階建て。
正面に立つモニュメントは芸術家 岡本太郎氏作の「こどもの樹」。
跡地は2020年東京オリンピック・パラリンピックのボランティアの拠点として使われる予定です。
東京建築賞を受賞しています。",https://kenchiku-pers.com/contents/wp-content/uploads/2019/01/national-childrens-castle01-140x140.jpg,東京都渋谷区神宮前5-53-1,35.6617873,139.7076073
ザ・ペニンシュラ東京,株式会社三菱地所設計（みつびしじしょせっけい）,2007年,,https://kenchiku-pers.com/contents/wp-content/uploads/2023/03/the-peninsula-tokyo01-140x140.jpg,東京都千代田区有楽町1-8-1,35.6746972,139.7606557
最高裁判所,岡田新一（おかだしんいち）,1974年,皇居に面して建つ裁判所。日本建築学会賞受賞。,https://kenchiku-pers.com/contents/wp-content/uploads/2015/03/supreme-court-of-japan011-140x140.jpg,東京都千代田区隼町4-2,35.6801448,139.7426572
在日クウェート国大使館,丹下健三（たんげけんぞう）,1970年,"東京都港区三田に建つクウェートの大使館。地上7階・地下2階建て。
建て替えのため取り壊される予定でしたが、見送られました。",https://kenchiku-pers.com/contents/wp-content/uploads/2018/06/embassy-of-the-state-of-kuwait01-140x140.jpg,東京都港区三田4-13-12,35.6453751,139.7415236
サニーヒルズ南青山店,隈研吾（くまけんご）,2013年,"台湾のパイナップルケーキ専門店「サニーヒルズ」。地上3階建て。
ファサードと店内は、釘や接着剤を使わずに組む地獄組という手法が使われています。",https://kenchiku-pers.com/contents/wp-content/uploads/2018/12/sunnyhills-minami-aoyama01-140x140.jpg,東京都港区南青山3-10-20,35.6657103,139.7161911
SHINAGAWA GOOS,坂倉準三（さかくらじゅんぞう）,1971年,"JR品川駅すぐに建つ複合施設。旧ホテルパシフィック東京。
2021年3月に閉館し、建物は解体されました。",https://kenchiku-pers.com/contents/wp-content/uploads/2018/06/shinagawa-goos01-140x140.jpg,東京都港区高輪3-13-3,35.6303427,139.7361334
渋谷ヒカリエ,株式会社日建設計（にっけんせっけい）,2012年,渋谷駅と直結している複合商業施設。2012年にグッドデザイン賞を受賞しています。,https://kenchiku-pers.com/contents/wp-content/uploads/2015/04/shibuya-hikarie01-140x140.jpg,東京都渋谷区渋谷2-21-1,35.6588387,139.7029809
GYRE,MVRDV（えむぶいあーるでぃぶい）,2007年,"表参道とキャットストリートの交差点に建つ商業施設。地上5階・地下2階建て。
設計は、オランダの建築事務所MVRDV（エムブイアールディブイ）と株式会社竹中工務店。
施工は、株式会社竹中工務店。
グッドデザイン賞を受賞しています。",https://kenchiku-pers.com/contents/wp-content/uploads/2019/01/gyre01-140x140.jpg,東京都渋谷区神宮前5-10-1,35.6674536,139.7068537
自由学園明日館,フランク・ロイド・ライト（ふらんく・ろいど・らいと）,1921年,,https://kenchiku-pers.com/contents/wp-content/uploads/2022/09/jiyugakuen-myonichikan01-140x140.jpg,東京都豊島区西池袋2-31-3,35.7266314,139.7072446
自由学園明日館講堂,遠藤新（えんどうあらた）,1927年,,https://kenchiku-pers.com/contents/wp-content/uploads/2022/09/jiyugakuen-myonichikan-kodou01-140x140.jpg,東京都豊島区西池袋2-31-3,35.7266314,139.7072446
小学館ビル,株式会社日建設計（にっけんせっけい）,2016年,"世界最大の本の街・神保町にある出版社・株式会社小学館の本社ビル。地上10階・地下2階建て。
免震のため低層部は内側に絞られています。
施工は、鹿島建設株式会社。照明デザインは、灯デザイン。",https://kenchiku-pers.com/contents/wp-content/uploads/2018/06/shogakukan-building01-140x140.jpg,東京都千代田区一ツ橋2-3-1,35.69415499999999,139.7581507
情報学環・福武ホール,安藤忠雄（あんどうただお）,2008年,"奥行き15m、長さ100ｍの細長い敷地に建てられた、東京大学創立130周年を記念した校舎、ホール。地上2階・地下2階。
東京大学で初めて個人寄付（ベネッセコーポレーション 福武總一郎氏による）で建設された建築です。
設計した安藤忠雄氏は、東京大学の特別栄誉教授。
申請すれば、施設内の見学が可能です。
施工は、鹿島建設株式会社。
グッドデザイン賞、BCS賞受賞。",https://kenchiku-pers.com/contents/wp-content/uploads/2018/05/fukutake-hall01-140x140.jpg,東京都文京区本郷7-3-1,35.7115532,139.7616825
昭和館,菊竹清訓（きくたけきよのり）,1998年,"戦中・戦後の生活に関する資料を展示している博物館です。

資料を守るため、できるだけ窓は設置していないようにしています。",https://kenchiku-pers.com/contents/wp-content/uploads/2014/04/national_showa_memorial_museum01-140x140.jpg,東京都千代田区九段南1-6-1,35.6950284,139.75078
新宿グリーンタワービル,株式会社日建設計（にっけんせっけい）,1986年,"オフィス、飲食店などが入る地上28階・地下4階の高層ビル。屋上はヘリポートになっています。
第13回 日本建築家協会25年賞受章。",https://kenchiku-pers.com/contents/wp-content/uploads/2018/03/shinjuku-green-tower-building01-140x140.jpg,東京都新宿区西新宿6-14-1,35.6943389,139.6929086
神保町三井ビルディング,株式会社山下設計（やましたせっけい）,2003年,"東京都千代田区にある高層賃貸オフィスビル。地上23階・地下3階建て。
施工は、西松・大成・鹿島建設共同企業体。",https://kenchiku-pers.com/contents/wp-content/uploads/2018/06/jinbocho-mitsui-building01-140x140.jpg,東京都千代田区神田神保町1-105,35.6942485,139.7605759
新丸の内ビルディング,三菱地所株式会社（みつびしじしょ）,2007年,東京駅前にある複合ビル。コンセプトデザインは、マイケル・ホプキンス氏。,https://kenchiku-pers.com/contents/wp-content/uploads/2016/04/shin-marunouchi-building01-140x140.jpg,東京都千代田区丸の内1-5-1,35.6825434,139.7642869
スパイラル,槇文彦（まきふみひこ）,1985年,"青山通り沿いに建つ複合文化施設。地上9階・地下2階建て。ファサードにはアルミが使われています。
施工は、株式会社竹中工務店。
R.S.レイノルズ賞、JIA25年賞（日本建築家協会25年賞）、グッドデザイン・ロングライフデザイン賞を受賞しています。",https://kenchiku-pers.com/contents/wp-content/uploads/2018/12/spiral01-140x140.jpg,東京都港区南青山5-6-23,35.6635829,139.7117499
すみだ北斎美術館,妹島和世（せじまかずよ）,2016年,"ほとんどの生涯を東京都墨田区で過ごした浮世絵師 葛飾北斎の作品を展示する美術館。地上4階・地下1階建て。
外壁にはアルミニウムが使われています。
施工は、株式会社大林組、東武谷内田建設株式会社。
BCS賞を受賞しています。",https://kenchiku-pers.com/contents/wp-content/uploads/2020/02/the-sumida-hokusai-museum01-140x140.jpg,東京都墨田区亀沢2-7-2,35.6963433,139.8004853
住友不動産御成門タワー,株式会社日建設計（にっけんせっけい）,2018年,"都営地下鉄御成門（おなりもん）駅直結の高層オフィスビル。地上22階・地下2階建て。
施工は三井住友建設株式会社。",https://kenchiku-pers.com/contents/wp-content/uploads/2019/01/sumitomo-realty-and-development-onarimon-tower01-140x140.jpg,東京都港区芝公園1-1-1,35.6606586,139.7516798
ソニーシティ,大江匡（おおえただす）,2006年,"東京都港区港南に建つソニー本社ビル。地上20階・地下2階建て。
グッドデザイン賞、日本免震構造協会賞を受賞しています。",https://kenchiku-pers.com/contents/wp-content/uploads/2018/06/sony-city01-140x140.jpg,東京都港区港南1-7-1,35.6312119,139.7436477
代官山 蔦屋書店,クライン・ダイサム・アーキテクツ（くらいん・だいさむ・あーきてくつ）,2011年,外観は、アルファベットのTを並べて大きなTを形作っています。,https://kenchiku-pers.com/contents/wp-content/uploads/2015/08/daikanyama-tsutaya-books01-140x140.jpg,東京都渋谷区猿楽町17-5,35.6488836,139.699776
ダイワユビキタス学術研究館,隈研吾（くまけんご）,2014年,"大和ハウス工業株式会社の寄付で建てられた、東京大学でのユビキタスコンピューティング分野の教育研究のための施設。地上3階・地下2階建て。外壁は、杉板を用いたウロコ状になっています。
1階には、カフェ「厨菓子くろぎ」が入っています。
設計した隈研吾氏は、東京大学の大学院工学系研究科教授です。
施工は大和ハウス工業株式会社。",https://kenchiku-pers.com/contents/wp-content/uploads/2018/05/the-daiwa-ubiquitous-computing-research-building01-140x140.jpg,東京都文京区本郷7-3-1,35.7115532,139.7616825
ダイワロイネットホテル東京有明,株式会社梓設計（あずさせっけい）,2018年,"大和ハウスグループが運営するホテル。地上17階・地下1階建て。
施工は、大和ハウス工業株式会社。",https://kenchiku-pers.com/contents/wp-content/uploads/2018/12/daiwa-roynet-hotel-tokyo-ariake01-140x140.jpg,東京都江東区有明3-7-3,35.6344346,139.7916499
築地KYビル,隈研吾（くまけんご）,2016年,"築地市場近くに建つ築30年のビルのリノベーションを建築家 隈研吾氏が担当。
外壁に木目柄をプリントしたアルミパネルを配置。パネルの裏にはLED照明が設置されており、夜はライトアップされます。",https://kenchiku-pers.com/contents/wp-content/uploads/2018/05/tsukiji-ky-building01-140x140.jpg,東京都中央区築地4-7-5,35.66678890000001,139.7701015
築地本願寺,伊東忠太（いとうちゅうた）,1934年,"インドの建築様式をモチーフにした鉄筋コンクリートの寺院建築。
国指定重要文化財です。",https://kenchiku-pers.com/contents/wp-content/uploads/2015/04/tsukiji-hongwanji011-140x140.jpg,東京都中央区築地3-15-1,35.6675748,139.7717624
Dior表参道,SANAA（さなあ）,2014年,"表参道に建つ、Diorのブランドショップ。地上4階建て。
屋上の星は、Diorのラッキーモチーフ。Dior銀座、Dior大阪心斎橋の屋上にもあります。",https://kenchiku-pers.com/contents/wp-content/uploads/2019/01/dior-omotesando01-140x140.jpg,東京都渋谷区神宮前5-9-11,35.6673419,139.7072622
